id,index,period,timestamp,minute,second,possession,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.body_part.id,pass.body_part.name,pass.type.id,pass.type.name,under_pressure,carry.end_location,dribble.outcome.id,dribble.outcome.name,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,block.deflection,pass.assisted_shot_id,pass.shot_assist,shot.statsbomb_xg,shot.end_location,shot.key_pass_id,shot.body_part.id,shot.body_part.name,shot.type.id,shot.type.name,shot.technique.id,shot.technique.name,shot.outcome.id,shot.outcome.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.type.id,goalkeeper.type.name,block.offensive,pass.cross,duel.type.id,duel.type.name,shot.aerial_won,counterpress,interception.outcome.id,interception.outcome.name,duel.outcome.id,duel.outcome.name,dribble.overrun,pass.aerial_won,ball_recovery.recovery_failure,injury_stoppage.in_chain,dribble.nutmeg,shot.first_time,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.outcome.id,goalkeeper.outcome.name,pass.switch,pass.backheel,50_50.outcome.id,50_50.outcome.name,foul_committed.card.id,foul_committed.card.name,foul_committed.advantage,foul_won.advantage,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,clearance.aerial_won,pass.deflected,pass.cut_back,shot.one_on_one,bad_behaviour.card.id,bad_behaviour.card.name,pass.goal_assist
ba277466-42f8-4cc3-841b-2c67704a800f,11,1,00:00:03.733,0,3,2,,14,Dribble,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['31018cdc-ab00-4d33-8587-00044bebb8a5', '4ca2fb0a-15f0-461a-95bb-2f0b8a7cb4d3', 'c3cbd773-c9db-4f82-b10a-457dcc7f8d8e']","[64.0, 37.0]",5104.0,Summer Green,23.0,Center Forward,,,,,,,,,,,,True,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09152364-441d-45f1-908b-fd7793d2b585,12,1,00:00:03.733,0,3,2,0.8,43,Carry,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['31018cdc-ab00-4d33-8587-00044bebb8a5', '4ca2fb0a-15f0-461a-95bb-2f0b8a7cb4d3', '838d0767-9d04-41a6-aead-8e31b10eee6b', 'ba277466-42f8-4cc3-841b-2c67704a800f', 'c3cbd773-c9db-4f82-b10a-457dcc7f8d8e', 'dfc934b4-58fd-4154-9e6e-fa4ee8bd1b1b']","[64.0, 37.0]",5104.0,Summer Green,23.0,Center Forward,,,,,,,,,,,,True,"[79.0, 44.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838d0767-9d04-41a6-aead-8e31b10eee6b,13,1,00:00:03.960,0,3,2,0.48,17,Pressure,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,['09152364-441d-45f1-908b-fd7793d2b585'],"[37.0, 30.0]",5091.0,McCall Zerboni,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfc934b4-58fd-4154-9e6e-fa4ee8bd1b1b,14,1,00:00:04.533,0,4,2,1.16,30,Pass,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['31018cdc-ab00-4d33-8587-00044bebb8a5', '7ca20a75-7541-40ca-b281-2a6af13e232f']","[79.0, 44.0]",5104.0,Summer Green,23.0,Center Forward,5103.0,Michele Vasconcelos,7.615773,1.9756881,1.0,Ground Pass,"[76.0, 51.0]",38.0,Left Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6677748-9b56-43e5-a43d-5b9d0149f752,15,1,00:00:05.560,0,5,2,1.0,17,Pressure,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,"['7ca20a75-7541-40ca-b281-2a6af13e232f', 'ea94b324-0282-4027-815f-76bbfda506ff']","[44.0, 28.0]",5091.0,McCall Zerboni,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ca20a75-7541-40ca-b281-2a6af13e232f,16,1,00:00:05.693,0,5,2,,42,Ball Receipt*,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['dfc934b4-58fd-4154-9e6e-fa4ee8bd1b1b', 'e6677748-9b56-43e5-a43d-5b9d0149f752']","[76.0, 51.0]",5103.0,Michele Vasconcelos,15.0,Left Center Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea94b324-0282-4027-815f-76bbfda506ff,17,1,00:00:05.693,0,5,2,0.88,43,Carry,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['7ca20a75-7541-40ca-b281-2a6af13e232f', 'c2340975-b541-462f-a214-a8429be51d15', 'e6677748-9b56-43e5-a43d-5b9d0149f752']","[76.0, 51.0]",5103.0,Michele Vasconcelos,15.0,Left Center Midfield,,,,,,,,,,,,True,"[71.0, 52.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2340975-b541-462f-a214-a8429be51d15,18,1,00:00:06.573,0,6,2,1.26,30,Pass,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,['f05e7840-cd9a-4733-a973-9809ddcfe94c'],"[71.0, 52.0]",5103.0,Michele Vasconcelos,15.0,Left Center Midfield,4965.0,Nikki Stanton,7.2111025,-2.158799,1.0,Ground Pass,"[67.0, 46.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58e5aca5-bcda-4e3a-992c-32627f500f77,19,1,00:00:07.200,0,7,2,1.08,17,Pressure,761,Chicago Red Stars,9,From Kick Off,766,North Carolina Courage,,,"['11012555-be03-4e17-b9eb-098b0d236500', 'f05e7840-cd9a-4733-a973-9809ddcfe94c']","[57.0, 26.0]",5055.0,Lynn Raenie Williams,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f05e7840-cd9a-4733-a973-9809ddcfe94c,20,1,00:00:07.833,0,7,2,,42,Ball Receipt*,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['58e5aca5-bcda-4e3a-992c-32627f500f77', 'c2340975-b541-462f-a214-a8429be51d15']","[67.0, 46.0]",4965.0,Nikki Stanton,10.0,Center Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11012555-be03-4e17-b9eb-098b0d236500,21,1,00:00:07.833,0,7,2,0.46,43,Carry,761,Chicago Red Stars,9,From Kick Off,761,Chicago Red Stars,,,"['58e5aca5-bcda-4e3a-992c-32627f500f77', 'cd1f6d6f-8936-4e0c-8399-cc715ae078c7', 'f05e7840-cd9a-4733-a973-9809ddcfe94c']","[67.0, 46.0]",4965.0,Nikki Stanton,10.0,Center Defensive Midfield,,,,,,,,,,,,True,"[66.0, 48.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
